# =============================================================================
# PDBbind general set v2007, 3124 entries, updated on 07/30/2007
# Entries are sorted by -logKd or -logKi in an increasing order
# PDB code, resolution, release year, pKd/pKi, Kd/Ki, reference, ligand name
# =============================================================================
1w8l  1.80  2004   0.49  Ki=320mM      // 1w8l.pdf (1P3)
1zsb  2.00  1996   0.60  Kd=250mM      // 1zsb.pdf (AZM)
1wkm  2.30  2005   0.82  Ki=150mM      // 1wkm.pdf (MET)
1p0y  2.55  2003   1.00  Ki=100.8mM    // 1ozv.pdf (MLZ)
2a31  1.25  2006   1.01  Kd=97mM       // 2a31.pdf (BO4)
1aw1  2.70  1998   1.05  Ki=89mM       // 1aw1.pdf (PGA)
1maw  3.00  2003   1.10  Kd=80mM       // 1mau.pdf (ATP)
1f9g  2.00  2001   1.28  Ki=53mM       // 1f9g.pdf (ASC)
1a0t  2.40  1998   1.30  Kd=50mM       // 1a0t.pdf (SUC)
1b74  2.30  2000   1.30  Ki=50mM       // 1b74.pdf (DGN)
2fah  2.09  2006   1.30  Ki>50mM       // 2faf.pdf (MLA)
1qpb  2.40  2000   1.36  Kd=44mM       // 1qpb.pdf (PYM)
1o4l  1.65  2004   1.40  IC50>40mM     // 1o4l.pdf (CIT)
1o4m  1.60  2004   1.40  IC50>40mM     // 1o41.pdf (MLA)
1o4n  1.60  2004   1.40  IC50>40mM     // 1o41.pdf (OXD)
2hdq  2.10  2006   1.40  Ki=40mM       // 2hdq.pdf (C21)
1ozv  2.65  2003   1.44  Ki=36.6mM     // 1ozv.pdf (Lys)
1utp  1.30  2004   1.44  Kd=36mM       // 1utj.pdf (PBN)
1tnk  1.80  1994   1.49  Ki=32.5mM     // 1tnh.pdf (PRA)
1iig  2.60  2001   1.57  Ki=27mM       // 1iig.pdf (3PP)
1w8m  1.65  2004   1.60  Ki=25mM       // 1w8l.pdf (E1P)
1a7t  1.85  1998   1.64  Ki=23mM       // 1a7t.pdf (MES)
1hgj  2.70  1994   1.66  Kd=22mM       // 1hge.pdf (AMN)
1rdj  1.80  1996   1.66  Ki=21.7mM     // 1rdi.pdf (MFB)
2sfp  1.90  1999   1.70  Ki=20mM       // 2sfp.pdf (PPI)
2hdr  2.20  2006   1.72  Ki=19mM       // 2hdq.pdf (4A3)
1u2y  1.95  2004   1.74  Ki=18mM       // 1u2y.pdf (GOX)
1s8j  2.30  2004   1.77  Kd=17mM       // 1s8j.pdf (NO3)
1ga8  2.00  2001   1.80  Ki=16mM       // 1g9r.pdf (DEL)
1af6  2.40  1998   1.82  Kd=15mM       // 1af6.pdf (GLC-FRU)
1bra  2.20  1994   1.82  Ki=15000uM    // 1bra.pdf (BEN)
1d5r  2.10  1999   1.82  Ki=15mM       // 1d5r.pdf (TAR)
1y1m  1.80  2005   1.82  Ki=15.3mM     // 1y1m.pdf (AC5)
1rdn  1.80  1996   1.84  Ki=14.4mM     // 1rdi.pdf (MAG)
1fd7  1.80  2000   1.85  IC50=14mM     // 1fd7.pdf (AI1)
1tnl  1.90  1994   1.88  Ki=13.3mM     // 1tnh.pdf (TPA)
2ay2  2.40  1999   1.88  Kd=13.1mM     // 2ay1.pdf (CXP)
1f2p  1.80  2001   1.90  Ki=12.7mM     // 1f2o.pdf (PHE)
1f2o  1.70  2001   1.91  Ki=12.4mM     // 1f2o.pdf (LEU)
1efi  1.60  2000   1.92  IC50=12mM     // 1fd7.pdf (GAT)
1tnj  1.80  1994   1.96  Ki=11.0mM     // 1tnh.pdf (PEA)
2gga  1.70  2006   1.96  IC50=11mM     // 2gg6.pdf (GPJ)
1wdq  1.28  2005   1.98  Kd=10.45mM    // 1wdq.pdf (MAL)
1ing  2.40  1996   2.00  IC50>10mM     // 1ing.pdf (ST5)
2hds  1.16  2006   2.00  Ki=10mM       // 2hdq.pdf (4MB)
3pce  2.06  1998   2.00  Ki=10mM       // 3pcb.pdf (3HP)
1jfh  2.03  1998   2.05  Ki=9mM        // 1jfh.pdf (MA2-MA3)
1qq9  1.53  2000   2.06  Ki=8.7mM      // 1qq9.pdf (MET)
1rdi  1.80  1996   2.06  Ki=8.8mM      // 1rdi.pdf (MFU)
1njj  2.45  2003   2.10  Ki=8mM        // 1njj.pdf (GET)
1qx1  1.30  2003   2.12  Ki=7.5mM      // 1qwn.pdf (GUL)
1p2g  2.30  2003   2.13  Ki=7.4mM      // 1p29.pdf (8-mer)
1uxb  1.75  2004   2.15  Kd=7mM        // 1uxa.pdf (SIA-GAL)
2ay9  2.50  1999   2.16  Kd=6.9mM      // 2ay1.pdf (5PV)
4tim  2.40  1992   2.16  Ki=6.9mM      // 4tim.pdf (2PG)
1w1v  1.85  2005   2.20  IC50=6.3mM    // 1w1p.pdf (ALJ)
1x8d  1.80  2005   2.21  Kd=6.16mM     // 1x8d.pdf (RNS)
1icj  1.90  1999   2.22  Ki=6mM        // 1icj.pdf (PGO)
1m0n  2.20  2002   2.22  Ki=6.0mM      // 1m0n.pdf (HCP)
2aac  1.60  1997   2.22  Kd=6mM        // 2aac.pdf (FCB)
1ajp  2.31  1997   2.23  Ki=5.85mM     // 1ai4.pdf (OMD)
1rdl  1.70  1996   2.24  Ki=5.7mM      // 1rdi.pdf (MMA)
2ay8  2.20  1999   2.24  Kd=5.8mM      // 2ay1.pdf (4TB)
1ukt  2.20  2004   2.25  IC50>5600uM   // 1ukq.pdf (4-mer)
1ew8  2.20  2002   2.26  Ki=5.5mM      // 1ew8.pdf (PAE)
1hge  2.60  1994   2.27  Kd=5.4mM      // 1hge.pdf (MNA)
1uto  1.15  2004   2.27  Kd=5.32mM     // 1utj.pdf (PEA)
1ps3  1.80  2003   2.28  Ki=5.2mM      // 1ps3.pdf (KIF)
